"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo"
"CS","CZ-NACE_2025_U5",6105,"20420","Výroba parfémů a toaletních přípravků","Výroba parfémů a toaletních přípravků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"20510","Výroba kapalných biopaliv","Výroba kapalných biopaliv","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"20591","Výroba aditiv do pohonných hmot na bázi ethyltercbutyléteru","Výroba aditiv do pohonných hmot na bázi ethyltercbutyléteru (ETBE) a methyltercbutyléteru (MTBE)","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"20599","Výroba jiných chemických výrobků j. n.","Výroba jiných chemických výrobků j. n.","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"20600","Výroba chemických vláken","Výroba chemických vláken","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"21100","Výroba základních farmaceutických výrobků","Výroba základních farmaceutických výrobků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"21200","Výroba farmaceutických přípravků","Výroba farmaceutických přípravků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"22110","Výroba pryžových plášťů a duší a protektorování pneumatik","Výroba pryžových plášťů a duší a protektorování pneumatik","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"22120","Výroba ostatních pryžových výrobků","Výroba ostatních pryžových výrobků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"22210","Výroba plastových desek, fólií, hadic, trubek a profilů","Výroba plastových desek, fólií, hadic, trubek a profilů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"22220","Výroba plastových obalů","Výroba plastových obalů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"22230","Výroba plastových dveří a oken","Výroba plastových dveří a oken","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"22240","Výroba plastových výrobků pro stavebnictví","Výroba plastových výrobků pro stavebnictví","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"22250","Zpracování a konečná úprava plastových výrobků","Zpracování a konečná úprava plastových výrobků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"22260","Výroba ostatních plastových výrobků","Výroba ostatních plastových výrobků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"23110","Výroba plochého skla","Výroba plochého skla","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"23120","Tvarování a zpracování plochého skla","Tvarování a zpracování plochého skla","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"23130","Výroba dutého skla","Výroba dutého skla","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"23140","Výroba skleněných vláken","Výroba skleněných vláken","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"23150","Výroba a zpracování ostatního skla, včetně technického skla","Výroba a zpracování ostatního skla, včetně technického skla","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"23200","Výroba žáruvzdorných výrobků","Výroba žáruvzdorných výrobků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"23310","Výroba keramických obkladaček a dlaždic","Výroba keramických obkladaček a dlaždic","2025-01-01","9999-09-09"
